Timestamp,recommended HH charge cell,TPH optimum,soft recommended HH charge cell
2021-09-15 07:36:00,935,4496.356,935.0
2021-09-15 07:37:00,935,4496.8496,935.0
2021-09-15 07:38:00,935,4498.333,935.0
2021-09-15 07:39:00,935,4498.333,935.0
2021-09-15 07:40:00,935,4498.333,935.0
2021-09-15 07:41:00,935,4497.8394,935.0
2021-09-15 07:42:00,935,4498.2793,935.0
2021-09-15 07:43:00,935,4496.356,935.0
2021-09-15 07:44:00,935,4490.8135,935.0
2021-09-15 07:45:00,935,4491.307,935.0
2021-09-15 07:46:00,935,4491.747,935.0
2021-09-15 07:47:00,935,4491.747,935.0
2021-09-15 07:48:00,935,4491.747,935.0
2021-09-15 07:49:00,910,4488.539,932.5
2021-09-15 07:50:00,910,4488.539,930.0
2021-09-15 07:51:00,935,4491.0464,930.0
2021-09-15 07:52:00,935,4491.747,930.0
2021-09-15 07:53:00,935,4490.8135,930.0
2021-09-15 07:54:00,935,4491.2534,930.0
2021-09-15 07:55:00,1010,4506.108,930.0
2021-09-15 07:56:00,935,4460.375,930.0
2021-09-15 07:57:00,935,4434.3037,930.0
2021-09-15 07:58:00,935,4436.403,930.0
2021-09-15 07:59:00,1010,4478.9497,932.5
2021-09-15 08:00:00,1010,4496.615,935.0
2021-09-15 08:01:00,1010,4497.5703,935.0
2021-09-15 08:02:00,1010,4487.823,935.0
2021-09-15 08:03:00,1010,4487.0454,935.0
2021-09-15 08:04:00,1010,4491.4663,935.0
2021-09-15 08:05:00,1010,4492.0693,935.0
2021-09-15 08:06:00,935,4494.26,935.0
2021-09-15 08:07:00,935,4494.6997,935.0
2021-09-15 08:08:00,935,4494.6997,935.0
2021-09-15 08:09:00,935,4497.1855,935.0
2021-09-15 08:10:00,935,4496.7456,935.0
2021-09-15 08:11:00,935,4497.1855,935.0
2021-09-15 08:12:00,935,4497.1855,935.0
2021-09-15 08:13:00,935,4499.109,935.0
2021-09-15 08:14:00,935,4499.109,935.0
2021-09-15 08:15:00,935,4498.669,935.0
2021-09-15 08:16:00,935,4498.1753,935.0
2021-09-15 08:17:00,935,4495.474,935.0
2021-09-15 08:18:00,935,4495.914,935.0
2021-09-15 08:19:00,935,4494.6997,935.0
2021-09-15 08:20:00,935,4494.26,935.0
2021-09-15 08:21:00,935,4494.26,935.0
2021-09-15 08:22:00,935,4493.999,935.0
2021-09-15 08:23:00,935,4493.999,935.0
2021-09-15 08:24:00,935,4493.999,935.0
2021-09-15 08:25:00,935,4491.7085,935.0
2021-09-15 08:26:00,935,4491.7085,935.0
2021-09-15 08:27:00,935,4491.7085,935.0
2021-09-15 08:28:00,935,4491.215,935.0
2021-09-15 08:29:00,935,4491.215,935.0
2021-09-15 08:30:00,935,4491.215,935.0
2021-09-15 08:31:00,935,4490.954,935.0
2021-09-15 08:32:00,935,4493.5054,935.0
2021-09-15 08:33:00,935,4493.5054,935.0
2021-09-15 08:34:00,935,4493.766,935.0
2021-09-15 08:35:00,935,4493.766,935.0
2021-09-15 08:36:00,935,4492.9883,935.0
2021-09-15 08:37:00,935,4493.922,935.0
2021-09-15 08:38:00,935,4493.922,935.0
2021-09-15 08:39:00,935,4494.26,935.0
2021-09-15 08:40:00,935,4494.6997,935.0
2021-09-15 08:41:00,935,4497.1855,935.0
